,speed_by_minute
0,6.67167129597
1,6.6321798817
2,6.81385339343
3,6.80613058964
4,6.71182924677
5,6.70246000271
6,6.68592550868
7,6.63871184519
8,6.71414236941
9,6.68259275067
10,6.72096396653
11,6.75397470994
12,6.81057114069
13,6.79904549704
14,6.82419891776
15,6.88096269761
16,6.87472214447
17,6.81219417765
18,6.80668807015
19,6.83693075835
20,6.80575423998
21,6.82692577061
22,6.81826519603
23,6.68501603837
24,6.70504080532
25,6.72315281047
26,6.705948537
27,6.66647876824
28,6.72841023783
29,6.73693655091
30,6.78260399779
31,6.73919818039
32,6.71102046864
33,6.72520260776
34,6.74020852242
35,6.76226213748
36,6.79166459876
37,6.78130889606
38,6.91172545443
39,6.90347167848
40,6.91994625814
41,6.92355800909
42,6.92214602102
43,6.94570571584
44,6.99920486523
45,6.98729742513
46,7.09196558625
47,7.10481198663
48,7.15269566082
49,7.18061847351
50,7.16370893407
51,7.13885992182
52,7.13843685138
53,7.38063504064
54,7.4153212999
55,7.44427367119
56,7.31681061585
57,7.31786824693
58,7.30034606618
59,7.12906139841
60,7.10688465933
61,7.04926761199
62,7.04608935186
63,7.08773522023
64,7.13420853115
65,7.02188307585
66,6.98203093206
67,6.88080666578
68,6.9540714513
69,6.9278484283
70,6.86999374581
71,6.76221416397
72,6.97148350736
73,7.10632051788
74,6.95621378457
75,6.90184574239
76,6.92950356689
77,6.98901381714
78,6.92351430382
79,6.90196742024
80,6.9438130137
81,7.0057204543
82,7.02649225149
83,7.06322526481
84,7.06438388207
85,6.99941739034
86,7.08329652712
87,7.01870142879
88,7.10207986708
89,7.04976625689
90,7.13141642414
91,7.23073486506
92,7.29633553905
93,7.0775261003
94,6.92808568377
95,6.70310153915
96,6.71529308953
97,6.70013714741
98,6.70908345067
99,6.6355167784
100,6.77369307845
101,6.7344217835
102,6.68376750777
103,6.69163647675
104,6.65682660672
105,6.60441642145
106,6.66288961472
107,6.64155319706
108,6.71157374589
109,6.65096458723
110,6.79280608566
111,6.77624974616
112,6.61247693803
113,6.55330721269
114,6.48619548643
115,6.59085062165
116,6.63680090594
117,6.64997757223
118,6.6040450697
119,6.48789288838
120,6.58578363475
121,6.5042101697
122,6.5258999806
123,6.56585116837
124,6.59254854752
125,6.63996027643
126,6.59736809726
127,6.53329582195
128,6.77722411611
129,6.93202008141
130,6.78774751466
131,6.53775330058
132,6.55574642436
133,6.60525141912
134,6.54601034881
135,6.69517096582
136,6.62295174166
137,6.70738201581
138,6.59416700701
139,6.58177548705
140,6.56005377816
141,6.617290329
142,6.5093521641
143,6.49797549934
144,6.61225970892
145,6.44037238464
146,6.30775892714
147,6.23554104983
148,6.24584490888
149,5.98498070108
150,5.88783921207
151,6.27600495709
152,6.34649327924
153,6.24290157275
154,6.34223526629
155,6.46896698665
156,6.48047462443
157,6.59599499469
158,6.54999701421
159,6.75009104378
160,6.6737552603
161,6.68693809394
162,6.5806140178
163,6.74786724027
164,6.85453185325
165,6.80061197096
166,6.87769600132
167,6.94882580767
168,7.0687390777
169,7.14745310154
170,7.08303196502
171,7.22297420591
172,6.93605023966
173,6.87416651244
174,6.84338264823
175,6.91540150601
176,6.89820690582
177,6.93605882842
178,6.76649639422
179,6.79632086316
180,6.724998741
181,6.85694616803
182,7.10839342105
183,7.19895168489
184,7.04516946835
185,7.97561409482
186,7.79865839769
187,7.7824816244
188,7.80774693449
189,7.67551203683
190,7.68199322544
191,7.69593970269
192,7.70393987379
193,7.6776799747
194,7.7426160548
195,7.8201695313
196,7.68665831274
197,7.66724649483
198,7.7041792036
199,7.73779139462
200,7.73093256238
201,7.75303562956
202,7.78043227441
203,7.67252658824
204,7.52726655872
205,7.82740388055
206,6.6874975858
207,6.68495432054
208,7.01879324128
209,6.89170790327
210,6.97172748608
211,6.99303073151
212,6.9422714556
213,6.73981899261
214,6.73926428764
215,6.84411132848
216,6.80146195132
217,6.71744740738
218,6.60002854873
219,6.45804495951
220,6.34713261424
221,6.27803648603
222,6.16226164441
223,6.13197140034
224,7.91629493848
225,7.9112914863
226,7.64350917842
227,7.4308846487
228,7.29884201003
229,7.08731016895
230,7.2231868773
231,7.01150971472
232,6.93931151217
233,6.86537125737
234,7.08844760748
235,7.12727725584
236,7.16672982264
237,7.24780302047
238,7.28249379288
239,7.28840318178
240,7.22791906233
241,7.28867325274
242,7.18778837806
243,8.06514337316
244,7.9222036309
245,6.46335086172
246,6.54659537035
247,6.65873128312
248,6.66325097176
249,6.71496823878
250,6.77799954382
251,6.68006898794
252,6.79689594358
253,6.79681674699
254,6.75755389895
255,6.52258832976
256,6.42739974799
257,6.3391321794
258,6.22863375217
259,6.21487589541
260,6.17438700113
261,6.07588073603
262,5.94606116666
263,6.19796741731
264,5.1229221066
265,5.31367750951
266,5.35422038635
267,5.16455603362
268,5.14777579057
269,5.10552957959
270,5.10443424252
271,4.97865242659
272,5.08921591078
273,5.02361556744
274,5.04374729866
275,5.12918437916
276,5.10805748066
277,5.13286692809
278,5.04156620985
279,5.22970268477
280,5.19717768799
281,5.31180138608
282,5.30833930728
283,5.34563080344
284,5.15902578961
285,5.71855934426
286,5.67384816519
287,5.64282822005
288,5.65321529534
289,5.58252906746
290,5.5792038162
291,5.54029420965
292,5.62042450227
293,5.57409661644
294,5.70997547836
295,5.60017596773
296,5.42321538411
297,5.47998366204
298,5.46680743537
299,5.56639192744
300,5.47687908916
301,5.51503303457
302,5.38242911254
303,5.51049287436
304,5.41627320827
305,5.47914125264
306,4.96715624612
307,4.92243403311
308,4.88970196578
309,4.85585064731
310,4.87913230556
311,4.88549577515
312,4.99084373669
313,4.92788304805
314,4.90170183992
315,4.95170122645
316,4.88532010828
317,4.97101233567
318,5.08700374129
319,5.19930759835
320,5.19701208977
321,5.20990612861
322,5.21744141273
323,5.2982116642
324,5.33983496857
325,5.38010348856
326,5.38741463331
327,5.45327896412
328,5.59969831137
329,5.68152547085
330,5.83465783448
331,5.79415779497
332,5.7596216285
333,5.80320249438
334,5.82336826137
335,5.89119901901
336,5.97835619241
337,6.14356796142
338,6.26519757906
339,6.32578269883
340,6.32141385525
341,6.28710540482
342,6.28893571665
343,6.22982337311
344,6.22904012981
345,6.26969647246
346,6.3617071753
347,6.26992735685
348,6.31397344496
349,6.34561911744
350,6.35892289568
351,6.34754919487
352,6.41235917495
353,6.66963408597
354,6.59439660903
355,6.60797797635
356,6.54701163555
357,6.47084859327
358,6.47015589378
359,6.4524302583
360,6.38085578128
361,6.3350411114
362,6.33646602821
363,6.32535375036
364,6.4103440924
365,6.539469388
366,6.516474473
367,6.5127014026
368,6.64246612387
369,6.75573549345
370,6.78639879491
371,6.85314971829
372,6.90511203815
373,7.14263191174
374,7.07697127315
375,7.2526364876
376,7.21748792249
377,7.28956818693
378,7.3499923874
379,7.40365044257
380,7.44706262845
381,7.49265385996
382,7.57077365974
383,7.59942423908
384,7.62135062595
385,7.62309795114
386,7.57988914089
387,7.56336880896
388,7.56446122402
389,7.56924091198
390,7.70237631674
391,7.63943489245
392,7.6490732973
393,7.64643842157
394,7.59651647069
395,7.59678685006
396,7.52419065434
397,7.60513174346
398,7.7296538284
399,7.75628432893
400,7.95398143847
401,8.1844988005
402,8.20602902017
403,8.20423872849
404,8.20358741504
405,8.2706346398
406,8.36124706136
407,8.38813494153
408,8.39199413169
409,8.40858886684
410,8.45422002751
411,8.33415276679
412,8.39724556598
413,8.3746711676
414,8.43796571534
415,8.42422961135
416,8.49608838339
417,8.58497747239
418,8.60640128562
419,8.57180819594
420,8.57728839309
421,8.45891180396
422,8.32054554771
423,8.25823386111
424,8.28426597147
425,8.33252213673
426,8.39448622589
427,8.44669068948
428,8.50403914814
429,8.52220475216
430,8.58570274352
431,8.61238016649
432,8.62378419245
433,8.60218041461
434,8.58746787439
435,8.58494228139
436,8.60108411713
437,8.56537053923
438,8.57381450808
439,8.57849705613
440,8.57667661029
441,8.61630004264
442,8.5594035572
443,8.53639312497
444,8.62663015957
445,8.66331474793
446,8.67210501306
447,8.76129003652
448,8.70192744991
449,8.80233336031
450,8.8479009775
